index,region,Year,Avg. Price
0,Cork,2006,329749
1,Dublin,2006,461250
2,Galway,2006,312049
3,Limerick,2006,266578
4,Waterford,2006,278803
5,Other,2006,286082
6,National,2006,339778
7,Cork,2007,347013
8,Dublin,2007,454460
9,Galway,2007,320426
10,Limerick,2007,282809
11,Waterford,2007,289032
12,Other,2007,304067
13,National,2007,349328
14,Cork,2008,325687
15,Dublin,2008,401237
16,Galway,2008,307916
17,Limerick,2008,267174
18,Waterford,2008,279558
19,Other,2008,287282
20,National,2008,322948
21,Cork,2009,245091
22,Dublin,2009,298887
23,Galway,2009,239193
24,Limerick,2009,222521
25,Waterford,2009,220604
26,Other,2009,224876
27,National,2009,254961
28,Cork,2010,246226
29,Dublin,2010,295445
30,Galway,2010,224219
31,Limerick,2010,219077
32,Waterford,2010,206331
33,Other,2010,214468
34,National,2010,249225
35,Cork,2011,236970
36,Dublin,2011,312939
37,Galway,2011,221446
38,Limerick,2011,210806
39,Waterford,2011,198524
40,Other,2011,208688
41,National,2011,246961
42,Cork,2012,227937
43,Dublin,2012,293607
44,Galway,2012,212493
45,Limerick,2012,200824
46,Waterford,2012,175137
47,Other,2012,195661
48,National,2012,234666
49,Cork,2013,225028
50,Dublin,2013,323105
51,Galway,2013,209142
52,Limerick,2013,193286
53,Waterford,2013,157165
54,Other,2013,191744
55,National,2013,241607
56,Cork,2014,225605
57,Dublin,2014,340631
58,Galway,2014,208603
59,Limerick,2014,189454
60,Waterford,2014,176642
61,Other,2014,198801
62,National,2014,253359
63,Cork,2015,237764
64,Dublin,2015,356334
65,Galway,2015,221129
66,Limerick,2015,203245
67,Waterford,2015,192402
68,Other,2015,225448
69,National,2015,272954
70,Cork,2016,266100
71,Dublin,2016,374650
72,Galway,2016,237958
73,Limerick,2016,215315
74,Waterford,2016,206745
75,Other,2016,236252
76,National,2016,294307
77,Cork,2021,333736
78,Dublin,2021,587974
79,Galway,2021,229745
80,Limerick,2021,217420
81,Waterford,2021,330658
82,Other,2021,249679
83,National,2021,335364
